id,category,title,description,price,inventory_status,rating,image_url
SKU-10000,Apparel,Cymbal Comfort Apparel Hat,Experience the comfort design of our apparel hat. Perfect for training and competition.,195.65,IN_STOCK,4.9,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10001,Soccer,Cymbal Tech Soccer Shin Guards,Experience the tech design of our soccer shin guards. Perfect for training and competition.,183.99,IN_STOCK,3.5,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10002,Yoga,Cymbal Elite Yoga Leggings,Experience the elite design of our yoga leggings. Perfect for training and competition.,112.21,IN_STOCK,4.5,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10003,Yoga,Cymbal Performance Yoga Block,Experience the performance design of our yoga block. Perfect for training and competition.,97.99,IN_STOCK,4.7,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10004,Soccer,Cymbal Performance Soccer Shin Guards,Experience the performance design of our soccer shin guards. Perfect for training and competition.,126.2,IN_STOCK,4.0,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10005,Boxing,Cymbal Comfort Boxing Punching Bag,Experience the comfort design of our boxing punching bag. Perfect for training and competition.,178.94,IN_STOCK,4.7,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10006,Running,Cymbal Performance Running Vest,Experience the performance design of our running vest. Perfect for training and competition.,144.51,LOW_STOCK,4.7,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10007,Basketball,Cymbal Lightweight Basketball Jersey,Experience the lightweight design of our basketball jersey. Perfect for training and competition.,132.71,IN_STOCK,4.8,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10008,Apparel,Cymbal Performance Apparel Jacket,Experience the performance design of our apparel jacket. Perfect for training and competition.,112.31,IN_STOCK,5.0,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10009,Yoga,Cymbal Vent Yoga Block,Experience the vent design of our yoga block. Perfect for training and competition.,47.48,IN_STOCK,3.5,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10010,Boxing,Cymbal Elite Boxing Wraps,Experience the elite design of our boxing wraps. Perfect for training and competition.,83.27,LOW_STOCK,5.0,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10011,Soccer,Cymbal Lightweight Soccer Cleats,Experience the lightweight design of our soccer cleats. Perfect for training and competition.,40.72,LOW_STOCK,4.0,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10012,Boxing,Cymbal Elite Boxing Shoes,Experience the elite design of our boxing shoes. Perfect for training and competition.,67.24,IN_STOCK,4.8,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10013,Apparel,Cymbal Speed Apparel Jacket,Experience the speed design of our apparel jacket. Perfect for training and competition.,73.77,LOW_STOCK,4.9,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10014,Basketball,Cymbal Pro Basketball Jersey,Experience the pro design of our basketball jersey. Perfect for training and competition.,111.32,IN_STOCK,4.9,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10015,Boxing,Cymbal Elite Boxing Gloves,Experience the elite design of our boxing gloves. Perfect for training and competition.,98.82,IN_STOCK,5.0,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10016,Basketball,Cymbal Comfort Basketball Shorts,Experience the comfort design of our basketball shorts. Perfect for training and competition.,45.46,LOW_STOCK,5.0,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10017,Basketball,Cymbal Speed Basketball Headband,Experience the speed design of our basketball headband. Perfect for training and competition.,159.59,IN_STOCK,3.8,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10018,Yoga,Cymbal Elite Yoga Mat,Experience the elite design of our yoga mat. Perfect for training and competition.,87.19,IN_STOCK,4.2,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10019,Apparel,Cymbal Lightweight Apparel Jacket,Experience the lightweight design of our apparel jacket. Perfect for training and competition.,145.1,LOW_STOCK,3.8,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10020,Soccer,Cymbal Lightweight Soccer Shorts,Experience the lightweight design of our soccer shorts. Perfect for training and competition.,85.6,IN_STOCK,4.9,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10021,Boxing,Cymbal Comfort Boxing Wraps,Experience the comfort design of our boxing wraps. Perfect for training and competition.,88.37,IN_STOCK,4.5,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10022,Boxing,Cymbal Ultra Boxing Shoes,Experience the ultra design of our boxing shoes. Perfect for training and competition.,111.16,IN_STOCK,4.8,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10023,Apparel,Cymbal Pro Apparel T-Shirt,Experience the pro design of our apparel t-shirt. Perfect for training and competition.,125.9,LOW_STOCK,4.9,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10024,Soccer,Cymbal Tech Soccer Cleats,Experience the tech design of our soccer cleats. Perfect for training and competition.,58.78,IN_STOCK,4.0,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10025,Basketball,Cymbal Speed Basketball Headband,Experience the speed design of our basketball headband. Perfect for training and competition.,192.65,IN_STOCK,4.8,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10026,Boxing,Cymbal Performance Boxing Headgear,Experience the performance design of our boxing headgear. Perfect for training and competition.,84.33,IN_STOCK,4.7,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10027,Soccer,Cymbal Durable Soccer Ball,Experience the durable design of our soccer ball. Perfect for training and competition.,119.4,IN_STOCK,4.8,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10028,Running,Cymbal Elite Running Vest,Experience the elite design of our running vest. Perfect for training and competition.,29.0,IN_STOCK,4.0,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10029,Apparel,Cymbal Tech Apparel Hat,Experience the tech design of our apparel hat. Perfect for training and competition.,142.91,IN_STOCK,4.8,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10030,Soccer,Cymbal Speed Soccer Ball,Experience the speed design of our soccer ball. Perfect for training and competition.,159.77,IN_STOCK,4.7,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10031,Running,Cymbal Durable Running Shoes,Experience the durable design of our running shoes. Perfect for training and competition.,107.95,IN_STOCK,3.5,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10032,Running,Cymbal Ultra Running Shorts,Experience the ultra design of our running shorts. Perfect for training and competition.,145.59,IN_STOCK,4.5,https://storage.googleapis.com/cymbal-sports/placeholder.png
SKU-10033,Basketball,Cymbal Durable Basketball Sneakers,Experience the durable design of our basketball sneakers. Perfect for training and competition.,20.59,IN_STOCK,4.2,https://storage.googleapis.com/cymbal-sports/placeholder.png
